titulo,precio,provincia,num_dormitorios,num_banos,area,num_garages,ciudad,sector,lugar,rango_area,tipo_precio
EN RENTA OFICINA SECTOR DEL COLIBR-SANGOLQU,180,Pichincha,2.5,1.5,27.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,0-50,Economico
EN RENTA OFICINA SECTOR DEL COLIBR-SANGOLQU,160,Pichincha,2.5,1.5,24.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,0-50,Economico
Suite sector universidad Catlica,350,Pichincha,1.0,1.0,70.0,1.0,Quito 170143,Toledo & Madrid,Quito 170143,50-80,Economico
EXCELENTE UBICACION LOCAL COMERCIAL RENTA (118M2  RUMIPAMBA),850,Pichincha,3.0,2.0,118.0,2.0,Quito,Veracruz & Avenida De La Repblica,Quito,80-120,Lujo
CASA COMERCIAL EXCELENTE UBICACION RENTA (200M2  RUMIPAMBA),1500,Pichincha,5.0,2.0,200.0,3.0,Quito,Veracruz & Avenida De La Repblica,Quito,180-250,Lujo
BODEGA COMERCIAL UBICACION ESTRATEGICA DE RENTA (87M2  RUMIPAMBA),450,Pichincha,1.0,1.0,87.0,1.0,Quito,Veracruz & Avenida De La Repblica,Quito,80-120,Medio
LOCAL EN RENTA A ESTRENAR DE 26M2 (EDF. AMELIA) MASTODONTES,200,Pichincha,1.0,1.0,26.0,1.0,Quito,Mastodontes,Quito,0-50,Economico
"Arriendo Departamento 3 Dormitorios, La Mariscal",697,Pichincha,3.0,2.0,110.0,2.0,Quito,La Mariscal,Quito,80-120,Medio
CONFORTABLE DEP. EXCELENTE UBICACION RENTA (75 MT2) RUMIPAMBA,300,Pichincha,2.0,2.0,75.0,1.0,Quito,Antonio De Ulloa & Avenida Atahualpa,Quito,50-80,Economico
DEPARTAMENTO EN RENTA,450,Pichincha,2.0,2.0,95.0,1.0,Quito,Nuez De Vela & Juan Jos De Villalengua,Quito,80-120,Medio
Casa en Renta 2 pisos  Quito,350,Pichincha,3.0,2.0,90.0,1.0,Quito,Rio Peripa,Quito,80-120,Economico
SE VENDEN EXCELENTES LOTES DE TERRENO COMERCIALES EN LA VIA EL CAMBIO CERCA AL PARQUE EN LA VIA PRINCIPAL,125,El Oro,10.0,10.0,5970.0,20.0,Machala,El Cambio,Machala,,Medio
"Arriendo Suite Amoblada, Av. America, Rumipamba",340,Pichincha,1.0,1.0,50.0,1.0,Quito,Av. Amrica,Quito,0-50,Economico
SE VENDEN DOS LOTES DE TERRENOS COMERCIALES EN LA PARROQUIA EL CAMBIO FRENTE A LA VIA PRINCIPAL,125,El Oro,10.0,10.0,5970.0,10.0,Machala,Parroquia El Cambio,Machala,,Medio
Renta de Suite Semi  Amoblada Sector La Carolina,550,Pichincha,1.0,1.0,70.0,1.0,Quito,La Carolina,Quito,50-80,Medio
Renta de Consultorio Sector Eloy Alfaro y Alemania,500,Pichincha,3.0,1.0,45.0,1.0,Quito,Avenida Eloy Alfaro,Quito,0-50,Medio
Renta Oficina Sector La Carolina,750,Pichincha,3.0,1.0,80.0,1.0,Quito,Avenida Republica Del Salvador & Avenida De Los Shyris,Quito,50-80,Lujo
Departamento en Venta/renta Sector Real Audiencia,517,Pichincha,2.0,2.0,96.0,1.0,Quito,Real Audiencia,Quito,80-120,Medio
LINDA OFICINA EN LA AV. COLON Y AMAZONAS ARRIENDO,350,Pichincha,3.0,2.0,51.0,1.0,Quito,Av. Cristbal Coln & Avenida Ro Amazonas,Quito,50-80,Economico
"Arriendo Departamento 3 Dormitorios + Estudio, La Mariscal",550,Pichincha,3.0,3.0,140.0,1.0,Quito,La Mariscal,Quito,120-180,Medio
EN RENTA OFICINA EN EL CENTRO DE SANGOLQU OFICINA 4,130,Pichincha,2.5,1.5,28.0,1.0,Sangolqu,Sangolqui,Sangolqu,0-50,Economico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQU OFICINA 3,170,Pichincha,2.5,1.5,52.0,1.0,Sangolqu,Sangolqui,Sangolqu,50-80,Economico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQU OFICINA 2,120,Pichincha,2.5,1.5,23.0,1.0,Sangolqu,Sangolqui,Sangolqu,0-50,Economico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQU OFICINA 1,140,Pichincha,2.5,1.5,30.0,1.0,Sangolqu,Sangolqui,Sangolqu,0-50,Economico
EN RENTA OFICINA EN EL CENTRO DE SANGOLQU,150,Pichincha,2.5,1.5,38.0,1.0,Sangolqu,Sangolqui,Sangolqu,0-50,Economico
TERRENO EN VENTA COLINAS DE BRICENO TERRENO 1,6500,Manab,3.0,2.0,100.0,1.0,San Vicente,San Vicente,San Vicente,80-120,Medio
EN RENTA NAVE INDUSTRIAL  VA SANGOLQU AMAGUAA,3000,Pichincha,3.0,2.0,600.0,1.0,Quito,Amaguaa,Quito,400+,Lujo
Local de Arriendo ubicado en el Colibri,600,Pichincha,2.5,1.5,100.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,80-120,Medio
SE RENTA DE SUITE EN LA PRIMAVERA,450,Pichincha,1.0,1.0,45.0,1.0,Quito,La Primavera,Quito,0-50,Medio
LOCAL COMERCIAL DE RENTA GUAMAN SUR DE QUITO,3900,Pichincha,3.0,2.0,286.0,12.0,Quito,Guaman,Quito,250-400,Lujo
ARRIENDO AMPLIA CASA EN EL SECTOR DE CONOCOTO,940,Pichincha,3.0,4.0,840.0,1.0,Quito,Conocoto,Quito,400+,Lujo
RENTA AMPLIO DEPARTAMENTO SECTOR ELOY ALFARO,550,Pichincha,3.0,2.0,132.0,1.0,Quito,Av. Eloy Alfaro,Quito,120-180,Medio
LOCAL DE ARRIENDO TORRES SANTA FE 6 DE DICIEMBRE,750,Pichincha,3.0,2.0,135.0,1.0,Quito,Av. 6 De Diciembre,Quito,120-180,Lujo
TERRENO EN BALCONES DE TAPAILA  ESMERALDAS,7000,Esmeraldas,3.0,2.0,100.0,1.0,Troncal Del Pacfico,Balcones De Tapaila,Troncal Del Pacfico,80-120,Medio
"RENTO 2DO PISO DE EDIF 3 AMBIENTES, SANGOLQUI",1200,Pichincha,2.5,1.5,395.0,1.0,Sangolqu,Sangolqui,Sangolqu,250-400,Lujo
Arriendo Departamento 3 dormitorios,350,Pichincha,3.0,2.0,120.0,1.0,Quito,Asuncin & Canada,Quito,80-120,Economico
CASA EN EL SECTOR DE LA ARMENIA LA RIBERA,1800,Pichincha,3.0,3.0,485.0,5.0,Quito,La Armenia,Quito,400+,Lujo
DEPARTAMENTO EN RENTA SEMI AMOBLADO QUITO TENNIS,700,Pichincha,2.0,1.0,85.0,1.0,Quito,Quito Tenis,Quito,80-120,Medio
EN RENTA DEPARTAMENTO DE 3 HAB. CENTRO HISTORICO,280,Pichincha,3.0,1.0,95.0,1.0,Quito,Centro Histrico,Quito,80-120,Economico
"ARRIENDO OFICINA, BODEGA, DEPARTAMENTO",3000,Pichincha,5.0,2.0,1500.0,1.0,Quito,La Gasca,Quito,,Lujo
"Quito Tenis, Exclusivo y bello depto de 90 M2",500,Pichincha,2.0,2.0,90.0,2.0,Quito,Los Cabildos 112,Quito,80-120,Medio
Hermoso departamento de arriendo sector Ponceano alto 3 dormitorios $450 incluido Alicuota,450,Pichincha,3.0,2.0,120.0,1.0,Quito,Ponceano Alto,Quito,80-120,Medio
Hermosa casa de arriendo de oportunidad sector La Pampa $600,600,Pichincha,3.0,3.0,140.0,2.0,Quito,La Pampa,Quito,120-180,Medio
RENTO OFICINA CON O SIN MENAJE EL COLIBRI SANGOLQU,900,Pichincha,2.5,1.5,98.0,1.0,Sangolqu,Sangolqui,Sangolqu,80-120,Lujo
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 88M2,690,Pichincha,2.5,1.5,88.0,1.0,Sangolqu,Sangolqui,Sangolqu,80-120,Medio
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 86M2,675,Pichincha,2.5,1.5,86.0,1.0,Sangolqu,Sangolqui,Sangolqu,80-120,Medio
Alquila la oficina para tu negocio en Yaruqu,450,Pichincha,3.0,2.0,180.0,1.0,Quito,Yaruqu,Quito,120-180,Medio
RENTO OFICINAS EN PLAZA COLIBRI SECTOR SANGOLQUI,705,Pichincha,2.5,1.5,90.0,1.0,Sangolqu,Sangolqui,Sangolqu,80-120,Medio
Departamento en Renta en el Sector de La Kennedy,280,Pichincha,2.0,1.0,70.0,1.0,Quito,La Kennedy,Quito,50-80,Economico
Departamento de Arriendo en Ponceano,250,Pichincha,2.0,1.0,65.0,1.0,Calles Orianga N63-159 Y De Los Cedros.,Calles Orianga N63-159 Y De Los Cedros.,Calles Orianga N63-159 Y De Los Cedros.,50-80,Medio
RENTA EXCLUSIVO DEPARTAMENTO EDF. B QUITO TENNIS,900,Pichincha,3.0,2.0,120.0,2.0,Quito,Quito Tenis,Quito,80-120,Lujo
EN RENTA DEPARTAMENTO SECTOR 6 DE DICIEMBRE,550,Pichincha,3.0,2.0,90.0,1.0,Quito,Av. 6 De Diciembre,Quito,80-120,Medio
RENTA CASA  150m2  EL CONDADO,450,Pichincha,3.0,2.0,150.0,2.0,Quito,Rio Pucuno & Rio Bigal,Quito,120-180,Medio
RENTA SUITE  55m2  EL INCA,350,Pichincha,1.0,1.0,55.0,1.0,Quito,Avenida De Las Palmeras & De Los Madroos,Quito,50-80,Economico
RENTA DEPARTAMENTO  120m2 -LA CAROLINA,690,Pichincha,3.0,1.0,120.0,1.0,Quito 170102,El Comercio & El Tiempo,Quito 170102,80-120,Medio
EN RENTA LOCAL DE 6M2 SECTOR COLIBR LOCAL 5,190,Pichincha,2.5,1.5,6.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,0-50,Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBR LOCAL 4,420,Pichincha,2.5,1.5,12.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,0-50,Medio
RENTO LOCAL COMERCIAL PLANTA BAJA SECTOR COLIBR LOCAL 3,1090,Pichincha,2.5,1.5,162.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,120-180,Lujo
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBR LOCAL 2,665,Pichincha,2.5,1.5,108.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,80-120,Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBR LOCAL 1,655,Pichincha,2.5,1.5,106.0,1.0,Sangolqu,Avenida General Rumiahui,Sangolqu,80-120,Medio
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBR,585,Pichincha,2.5,1.5,95.0,35.0,Sangolqu,Avenida General Rumiahui,Sangolqu,80-120,Medio
"ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIN, 2 HABITACIONES, AMOBLADO O SIN AMOBLAR, $5OO",500,Pichincha,2.0,1.0,70.0,4.0,Quito 170157,Juan Montalvo N2-168 Y,Quito 170157,50-80,Economico
ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIN.,650,Pichincha,3.0,2.0,180.0,2.0,Cumbaya,Cumbaya,Cumbaya,120-180,Medio
SE RENTA DEPARTAMENTO EN CONJUNTO EN CONOCOTO,370,Pichincha,3.0,2.0,100.0,1.0,Quito,Conocoto,Quito,80-120,Economico
Departamento en Renta sector La Carolina,350,Pichincha,3.0,1.0,100.0,1.0,Quito,La Carolina,Quito,80-120,Economico
DEPARTAMENTO EN RENTA SECTOR KENNEDY,415,Pichincha,3.0,2.0,103.0,2.0,Quito,La Kennedy,Quito,80-120,Medio
En Arriendo bonita Oficina Sector La Pradera,700,Pichincha,3.0,2.0,94.0,1.0,Quito,La Pradera,Quito,80-120,Medio
Habitacin en Renta en el Sector la Carolina hab. 2,120,Pichincha,1.0,1.0,15.0,1.0,Quito,La Carolina,Quito,0-50,Economico
RENTA OFICINA- 60m2  CENTRO NORTE DE QUITO,470,Pichincha,3.0,1.0,60.0,1.0,Quito,Batan Bajo,Quito,50-80,Medio
LOCAL DE ARRIENDO EN LAS CASAS QUITO,490,Pichincha,3.0,2.0,70.0,1.0,Quito,Las Casas,Quito,50-80,Medio
DEPARTAMENTO EN ALQUILER SECTOR PINAR BAJO,550,Pichincha,3.0,3.0,150.0,1.0,Quito,Teniente Homero Salas,Quito,120-180,Medio
Departamento en Renta sector La Carolina,350,Pichincha,3.0,1.0,90.0,1.0,Quito,La Carolina,Quito,80-120,Economico
"SUITE AMOBLADA DE ARRIENDO , SECTOR LA CAROLINA",750,Pichincha,1.0,2.0,72.0,1.0,Quito,Avenida De Los Shyris & Avenida Naciones Unidas,Quito,50-80,Lujo
EN RENTA-LOCAL COMERCIAL SECTOR VERSALLES,200,Pichincha,3.0,2.0,30.0,1.0,Quito,Versalles,Quito,0-50,Economico
"Arriendo Departamento 3 Dormitorios + Estudio, Maosca",450,Pichincha,3.0,3.0,130.0,1.0,Quito,Maosca & Avenida Occidental,Quito,120-180,Medio
"Arriendo Departamento 2 Dormitorios, Maosca",350,Pichincha,2.0,2.0,105.0,1.0,Quito,Maosca & Avenida Occidental,Quito,80-120,Economico
ARRIENDO OFICINA-142m2-REPBLICA DEL SALVADOR,900,Pichincha,2.0,2.0,142.0,2.0,Quito 170102,Av. Repblica De El Salvador,Quito 170102,120-180,Lujo
Departamento sector Repblica del Salvador,700,Pichincha,3.0,3.0,178.0,2.0,Finlandia N36-83 Y Suecia,Finlandia N36-83 Y Suecia,Finlandia N36-83 Y Suecia,120-180,Medio
ARRIENDO BODEGA Y OFICINAS. ESQUIENERO. (BELLAVISTA DE CALDERN),900,Pichincha,4.0,3.0,646.0,1.0,Quito,Bellavista,Quito,400+,Lujo
ARRIENDO OFICINA-142m2-REPBLICA DEL SALVADOR,900,Pichincha,3.0,2.0,142.0,2.0,Quito,Av. Repblica De El Salvador,Quito,120-180,Lujo
RENTA DEPARTAMENTO  115m3  SAN RAFAEL,383,Pichincha,2.0,3.0,115.0,1.0,Quito,Av. Gral. Rumiahui & Isla Floreana,Quito,80-120,Medio
RENTA MODERNA OFICINA  96m2  LA CORUA,480,Pichincha,3.0,2.0,96.0,1.0,Quito,Av. La Corua & San Ignacio,Quito,80-120,Medio
Hermoso departamento embajada Americana (colegio SEK) edificio inteligente $500,500,Pichincha,3.0,2.0,100.0,1.0,Quito 170124,Av. Eloy Alfaro E12-170 Y,Quito 170124,80-120,Economico
Hermoso departamento Edificio inteligente sector Ponceano Alto,400,Pichincha,2.0,2.0,100.0,1.0,Quito,Ponceano Alto,Quito,80-120,Medio
Hermosa casa 3 platas sector embajada Amricana,480,Pichincha,3.0,2.0,100.0,2.0,Quito,Embajada Americana,Quito,80-120,Medio
Alquiler de Departamento 2do Piso Alto en Garzota Norte de Guayaquil,400,Guayas,2.0,1.0,68.0,1.0,Guayaquil,Garzota Ii,Guayaquil,50-80,Economico
AMPLIA HERMOSA CASA ARRIENDO MITAD DEL MUNDO QUITO,350,Pichincha,5.0,4.0,170.0,1.0,Quito,Padre Rumi E1-10,Quito,120-180,Economico
"ARIENDO DEPARTAMENTO DUPLEX CONJUNTO SOL DEL SUR, QUITUMBE",220,Pichincha,3.0,2.0,100.0,1.0,Quito,Av. Cndor An,Quito,80-120,Economico
"Arriendo Consultorio Medico, La Mariscal",280,Pichincha,3.0,1.0,43.0,1.0,Quito,La Mariscal,Quito,0-50,Economico
"Arriendo Departamento 2 Dormitorios, Casablanca",140,Esmeraldas,2.0,2.0,80.0,1.0,Same,Casablanca,Same,50-80,Medio
Suite en renta sector Granda Centeno,450,Pichincha,1.0,1.0,68.0,1.0,Quito,Granda Centeno,Quito,50-80,Medio
"Arriendo Departamento 4 Dormitorios + Estudio, Gonzalez Suarez",1000,Pichincha,4.0,6.0,285.0,2.0,Quito,Gonzalez Suarez,Quito,250-400,Lujo
Hermoso departamento con Terraza propia de arriendo sector Ponceano Alto,400,Pichincha,3.0,2.0,140.0,1.0,Ponceano,Ponceano,Ponceano,120-180,Economico
Linda Casa de oportunidad $380 sector Ponceano alto,380,Pichincha,3.0,2.0,100.0,1.0,Quito,Ponceano Alto,Quito,80-120,Medio
"Hermosa Casa de Arriendo en Mirasierra, Valle de Los Chillos",500,Pichincha,3.0,3.0,140.0,2.0,Quito,Mirasierra,Quito,120-180,Medio
Hermoso departamento de arriendo sector Ponceano Alto 2 dormitorios,380,Pichincha,2.0,2.0,80.0,1.0,Quito,Ponceano Alto,Quito,50-80,Medio
Hermoso departamento de arriendo el bosque 2 dormitorios,500,Pichincha,2.0,2.0,100.0,1.0,Quito,El Bosque,Quito,80-120,Medio
"Se arrienda departamento en Cumbaya, sector la Primavera.",1200,Pichincha,2.0,3.0,130.0,2.0,Quito,Cumbay,Quito,120-180,Lujo
AMPLIA Y HERMOSA CASA DE RENTA EN SAN RAFAEL,1400,Pichincha,4.0,2.0,473.0,1.0,San Rafael,San Rafael,San Rafael,400+,Lujo
"Arriendo Bodega, sector Ana Maria Bajo, Occidental",590,Pichincha,3.0,1.0,175.0,1.0,Quito,Ana Maria Bajo,Quito,120-180,Medio
Se Renta Amplio Departamento en el Sector de la Unin Nacional Cerca del Centro Comercial el Bosque,690,Pichincha,4.0,4.0,230.0,1.0,Quito,Marcos Jofre,Quito,180-250,Medio
Arriendo departamento en San Carlos frente al parque ingles,250,Pichincha,3.0,2.0,80.0,1.0,Quito,Av. Mariscal Sucre,Quito,50-80,Economico
Arriendo Departamento Amoblado 2 Dorm. Centro Histrico,650,Pichincha,2.0,3.0,114.0,1.0,Quito,Centro Histrico,Quito,80-120,Medio
"Arriendo Departamento Amoblado 3 Dorm. + Servicio, El Batn Bajo",600,Pichincha,3.0,3.0,115.0,1.0,Quito,El Batn,Quito,80-120,Medio
"Vendo Terrenos de 200m2 Listos Para Construir en Cayo Beach, Avista Las Ballenas Jorobadas en Puerto Cayo, Jipijapa, Manab, Ecuador; Ventas: +593987213710",3840,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo,Puerto Cayo,80-120,Economico
"Vendo Terreno en Lotizacin Cayo Beach con: Agua, Luz, Calles Lastradas, Piscinas, reas Bbq, Playa de Puerto Cayo, Jipijapa, Manab; Llmame: 0987213710",5400,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo,Puerto Cayo,80-120,Medio
Alquiler dpto. totalmente amoblado,750,Guayas,2.0,1.0,120.0,1.0,Cdla. Cogra Frente A Miraflores,Cdla. Cogra Frente A Miraflores,Cdla. Cogra Frente A Miraflores,80-120,Medio
"ARRIENDO DEPARTAMENTO, SECTOR QUICENTRO NORTE",610,Pichincha,3.0,2.0,110.0,2.0,Quito,Avenida 6 De Diciembre,Quito,80-120,Medio
Se arrienda hermosa casa en la Via,2500,Pichincha,4.0,5.0,400.0,4.0,Quito,Cumbay,Quito,250-400,Lujo
"Arriendo Suite Amoblada, Granda Centeno",280,Pichincha,1.0,1.0,50.0,1.0,Quito,Granda Centeno,Quito,0-50,Economico
"TU LOTE A 3 CUADRAS DE LA PLAYA DE PUERTO CAYO, JIPIJAPA, MANABI Y CONSTRUYA SU CASA PARA VACACIONAR, LOTIZACIN CAYO BEACH CERCA DE LOS FRAILES Y PUERTO LOPEZ; CONTACTANOS: 0987213710",6000,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo Playa,Puerto Cayo,80-120,Lujo
VENTA DE SOLARES EN LOTIZACIN CAYO BEACH UBICADA EN PUERTO CAYO UNA DE LAS PLAYAS MAS HERMOSAS DE LA REGION COSTA DEL ECUADOR; WHATSAPP: 0987213710,6000,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo Playa,Puerto Cayo,80-120,Lujo
"TERRENOS EN PUERTO CAYO LUGAR IDEAL PARA EL DESCANSO Y VACACIONAR, TERRENOS DE 180M2 A $5.400 CON SERVICIOS BASICOS Y AREAS RECREATIVAS; WHATSAPP: +593987213710",5400,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo Playa,Puerto Cayo,80-120,Medio
"INVIERTE EN LA PLAYA EN PUERTO CAYO, JIPIJAPA, MANABI, LOTES DE 180M2 A 5.400 USD EN LOTIZACIN PRIVADA CAYO BEACH, ESCRITURAS INMEDIATAS; VENTAS: 0987213710",5400,Manab,1.0,1.0,100.0,1.0,Puerto Cayo,Puerto Cayo Playa,Puerto Cayo,80-120,Medio
Bodega de Arriendo Centro Norte de Quito Sector Hospital Metropolitano,650,Pichincha,1.0,1.0,300.0,1.0,Quito,Cuero Y Caicedo,Quito,250-400,Medio
RENTO LOCAL COMERCIAL EN VERSALLES Y PORTOVIEJO,390,Pichincha,3.0,1.0,30.0,1.0,Quito,Versalles,Quito,0-50,Medio
"EN RENTA, LOCAL COMERCIAL EN EL SEC. LOS TULIPANES",170,Pichincha,3.0,1.0,20.0,1.0,Quito,Cotocollao,Quito,0-50,Economico
SE ARRIENDA LOCAL COMERCIAL EN LA PRIMAVERA,800,Pichincha,3.0,2.0,80.0,3.0,Quito,La Primavera,Quito,50-80,Lujo
DEPARTAMENTO EN ARRIENDO 230 $ QUITO  NORTE DE QUITO  EL CONDADO  PRADOS DEL CONDADO,230,Pichincha,3.0,2.0,100.0,1.0,Quito,El Condado,Quito,80-120,Economico
Departamento en Renta sector La Kennnedy,300,Pichincha,3.0,2.0,386.0,1.0,Quito,La Kennedy,Quito,250-400,Economico
HERMOSOS DEPARTAMENTO EN RENTA SECTOR QUITO NORTE,350,Pichincha,3.0,1.0,80.0,1.0,Quito,Cotocollao,Quito,50-80,Economico
EN RENTA OFICINA EJECUTIVA ESTADIO OLIMPICO,452,Pichincha,3.0,2.0,100.0,1.0,Quito,Iaquito,Quito,80-120,Medio
OFICINA EJECUTIVA EN RENTA ESTADIO OLIMPICO ATAHUA,218,Pichincha,3.0,2.0,40.0,1.0,Quito,Iaquito,Quito,0-50,Economico
OFICINA EJECUTIVA EN RENTA EN IAQUITO,260,Pichincha,3.0,2.0,21.0,1.0,Quito,Iaquito,Quito,0-50,Economico
SUITE CON PATIO PONCEANO ALTO / SUPERMAXI,350,Pichincha,1.0,2.0,67.0,1.0,Quito,Calle 3 & Francisco Dalmau,Quito,50-80,Economico
SE RENTA LOCAL COMERCIAL -SECTOR CONOCOTO,1000,Pichincha,3.0,1.0,90.0,1.0,Quito,Conocoto,Quito,80-120,Lujo
DEPARTAMENTO EN ARRIENDO 210 $  NORTE DE QUITO  EL CONDADO  URBANIZACIN PRADOS DEL CONDADO,210,Pichincha,3.0,2.0,90.0,1.0,Quito,El Condado,Quito,80-120,Economico
DEPARTAMENTO EN GUAYAQUIL EN CIUDADEL ALBORADA 3ERA ETAPA DETRAZ DE PLAZA MAYOR PARA PERSONA SOLA O PAREJA SIN MASCOTAS,250,Guayas,1.0,1.0,100.0,1.0,Guayaquil,Alborada Iii Etapa,Guayaquil,80-120,Economico
HERMOSO DEPARTAMENTO AMOBLADO EN RENTA / NORUEGA,900,Pichincha,3.0,2.0,106.0,1.0,Quito,Noruega,Quito,80-120,Lujo
Arriendo Local Comercial sector Andaluca,1800,Pichincha,3.0,2.0,290.0,3.0,Quito,Andalucia,Quito,250-400,Lujo
Departamento de Arriendo sector Andaluca,390,Pichincha,2.0,1.0,100.0,1.0,Quito,Andalucia,Quito,80-120,Medio
Alquilo amplio consultorio en sector de la antigua Maternidad Enrique Sotomayor,900,Guayas,6.0,4.0,190.0,1.0,Pedro Pablo Gmez,Pedro Pablo Gmez,Pedro Pablo Gmez,180-250,Medio
Hermoso departamento duplex de arriendo sector Ponceano alto de oportunidad,500,Pichincha,3.0,3.0,120.0,2.0,Quito,Ponceano Alto,Quito,80-120,Medio
Hermoso departamento de arriendo de oportunidad sector el bosque 3 dormitorios,550,Pichincha,3.0,2.0,100.0,2.0,Quito,El Bosque,Quito,80-120,Medio
Hermoso departamento de arriendo de oportunidad 3 dormitorios Ponceano alto $400,400,Pichincha,3.0,3.0,100.0,1.0,Quito,Ponceano Alto,Quito,80-120,Medio
Hermoso departamento de arriendo de oportunidad sector Shyris Carolina,500,Pichincha,2.0,2.0,85.0,1.0,Quito,Avenida De Los Shyris,Quito,80-120,Medio
Hermosa suite amoblada de arriendo de oportunidad sector Portugal,500,Pichincha,1.0,2.0,75.0,1.0,Quito,Portugal,Quito,50-80,Medio
Bello departamento de alquiler en Mocoli,2300,Guayas,3.0,1.0,220.0,2.0,Samborondn,Isla Mocoli,Samborondn,180-250,Lujo
Hermosa casa de arriendo de oportunidad sector Pomasqui,380,Pichincha,3.0,3.0,130.0,2.0,Quito,Pomasqui,Quito,120-180,Medio
DEPARTAMENTO EN ARRIENDO $215 NORTE DE QUITO  EL CONDADO  PRADOS DEL CONDADO,215,Pichincha,3.0,1.0,90.0,1.0,Quito,El Condado,Quito,80-120,Economico
Suite amoblada sector La Carolina Av Shyris,450,Pichincha,1.0,1.0,40.0,1.0,Quito,Luxemburgo & Holanda,Quito,0-50,Medio
SE RENTA PROPIEDAD COMERCIAL SECTOR LA DELICIA,5000,Pichincha,3.0,6.0,1850.0,1.0,Quito,La Delicia,Quito,,Lujo
LOCAL COMERCIAL VENTA/RENTA,900,Pichincha,3.0,2.0,120.0,1.0,Quito,La Pradera,Quito,80-120,Lujo
ARRIENDO OFICINA SECTOR LA SHYRIS,390,Pichincha,3.0,2.0,50.0,1.0,Quito,Av. De Los Shyris,Quito,0-50,Medio
"ARRIENDO LOCAL PUEMBO, SERVICIOS MDICOS,DENTALES",350,Pichincha,3.0,2.0,100.0,1.0,Puembo,Puembo,Puembo,80-120,Lujo
RENTO DEPARTAMENTO 2 DORM.SECTOR REP. DEL SALVADOR,550,Pichincha,2.0,1.0,95.0,1.0,Quito,Av Repblica De El Salvador,Quito,80-120,Medio
Hermoso departamento de arriendo amoblado sector el bosque,500,Pichincha,3.0,2.0,115.0,1.0,Quito,El Bosque,Quito,80-120,Medio
Tv: Se Renta suite vacia Sector El Inca,300,Pichincha,1.0,2.0,74.0,1.0,Quito,De Los Madroos,Quito,50-80,Economico
Tv: ARRIENDO DEPARTAMENTO SECTOR NORTE ELOY ALFARO  QUITO,350,Pichincha,2.0,2.0,90.0,1.0,Quito,Monteserrin,Quito,80-120,Economico
Tvc: Arriendo departamento 2 dormitorios sector Tumbaco,230,Pichincha,2.0,1.0,67.0,1.0,Quito,Av. Intervalles,Quito,50-80,Economico
Tv: Arriendo departamento 3 dormitorios sector Caminos del Sur,290,Pichincha,3.0,3.0,145.0,1.0,Quito 170131,Santa Rita,Quito 170131,120-180,Medio
Tv: Rento departamento 2 dormitorios sector Andalucia,210,Pichincha,2.0,1.0,65.0,1.0,Quito 170104,Andalucia,Quito 170104,50-80,Economico
Tv: Arriendo departamento 3 dormitorios sector Iaquito,550,Pichincha,3.0,3.0,110.0,1.0,Iaquito,Iaquito,Iaquito,80-120,Medio
ALQUILO OFICINA EN EDIFICIO TRADE BUILDING,600,Guayas,3.0,1.0,50.0,1.0,Guayaquil,Avenida Jose Joaquin De Olmedo,Guayaquil,0-50,Medio
ALQUILO OFICINA CON AIRE ACONDICIONADO EN KENNEDY NORTE,720,Guayas,3.0,1.0,72.0,1.0,Guayaquil,Kennedy Norte,Guayaquil,50-80,Lujo
"Arriendo Departamento, 3 dormitorios amplios, Sector Eloy Alfaro entre los Guayacanes y Fresnos",420,Pichincha,3.0,2.0,110.0,1.0,Quito,De Los Guayacanes & De Los Fresnos,Quito,80-120,Medio
ARRIENDO DEPARTAMENTO OCCIDENTAL SECTOR ANT,250,Pichincha,2.0,1.0,62.0,1.0,Quito,Torres Constelacion,Quito,50-80,Economico
Renta 2 dormitorios amoblado de lujo Republica del Salvador centro norte,900,Pichincha,2.0,2.0,120.0,1.0,Quito,Avenida Repblica De El Salvador,Quito,80-120,Lujo
